Name,Email Address,Code,Status
ANDRE SOUZA,andre.souza@exemplo.com,5980060805,enrolled
ANTONIO ALEXANDRE,antonio.alexandre@exemplo.com,4611926837,enrolled
ANTONIO BARBOSA,antonio.barbosa@exemplo.com,5701933302,pending
ANTONIO FREITAS SOUZA RODRIGUES,antonio.rodrigues@exemplo.com,2025918326,pending
BRUNO ALVES DE LIMA SOARES,bruno.soares@exemplo.com,6689290204,pending
BRUNO CABRAL SIQUEIRA GOMES,bruno.gomes@exemplo.com,545289056,cancelled
BRUNO DA FONTE MARTINS,bruno.martins@exemplo.com,8603615248,enrolled
BRUNO GOMES MOREIRA PEREIRA,bruno.pereira@exemplo.com,8567199529,enrolled
BRUNO MORAES GUIMARÃES NUNES,bruno.moraes@exemplo.com,6967075787,enrolled
BRUNO RAMON SILVA CAVALCANTE,bruno.cavalcante@exemplo.com,7692117909,pending
BRUNO SOARES,bruno.soares@exemplo.com,8383758513,pending
CAMILA CALISTRATO NUNES TAVARES PINTO,camila.pinto@exemplo.com,6978528925,enrolled
CAMILA DE ALMEIDA GOMES,camila.gomes@exemplo.com,6898182661,enrolled
CAMILA NUNES MARTINS CARVALHO,camila.carvalho@exemplo.com,564315634,enrolled
CARLOS HENRIQUE BASTOS FREITAS,carlos.freitas@exemplo.com,6290794582,pending
CARLOS HENRIQUE CARDOZO OLIVEIRA,carlos.oliveira@exemplo.com,3590905908,enrolled
CARLOS MORAES CHAVES,carlos.moraes@exemplo.com,1326400679,enrolled
CARLOS SANTANA DE ANDRADE LIMA,carlos.lima@exemplo.com,123458104,enrolled
DANIEL AURELIO DE OLIVEIRA,daniel.oliveira@exemplo.com,4712535533,enrolled
DANIEL DE ARAÚJO SANTOS CAVALCANTE,daniel.cavalcante@exemplo.com,1908961838,cancelled
DANIEL DE OLIVEIRA LOPES,daniel.lopes@exemplo.com,2569910878,enrolled
DANIEL LIMA VITAL DE CASTRO,daniel.lima@exemplo.com,5340861260,enrolled
DANIEL LOPES,daniel.lopes@exemplo.com,565095622,enrolled
FELIPE ARAÚJO DA SILVA RAPOSO SILVA,felipe.silva@exemplo.com,5302933535,enrolled
FELIPE DE OLIVEIRA CAVALCANTE,felipe.cavalcante@exemplo.com,2842049021,enrolled
FELIPE MARTINS DA COSTA PINTO BRITO,felipe.brito@exemplo.com,2028155992,enrolled
FELIPE SANTOS DUARTE,felipe.santos@exemplo.com,5935062920,pending
FELIPE TORRES CASTRO SOARES,felipe.soares@exemplo.com,7466314487,enrolled
FERNANDA CARVALHO MENDONÇA MARTINS,fernanda.martins@exemplo.com,8984189454,enrolled
FERNANDA DE MENEZES ALVES,fernanda.alves@exemplo.com,3493748791,cancelled
FERNANDA GONZAGA DE OLIVEIRA FREITAS,fernanda.freitas@exemplo.com,1728106010,enrolled
FERNANDA MAIA BARBOSA MELO,fernanda.melo@exemplo.com,6181190490,pending
FERNANDA XAVIER GAMA MARTINS,fernanda.martins@exemplo.com,2123849259,enrolled
FRANCISCO ALVES DE BARROS LIMA,francisco.lima@exemplo.com,2545229464,pending
FRANCISCO ARRUDA LOPES,francisco.lopes@exemplo.com,6752240950,enrolled
FRANCISCO CAVALCANTI CARNEIRO DE LIMA,francisco.lima@exemplo.com,3561251370,enrolled
FRANCISCO CAVALCANTI CARNEIRO SILVA,francisco.silva@exemplo.com,1018338284,enrolled
FRANCISCO COSTA,francisco.costa@exemplo.com,9006580644,enrolled
FRANCISCO DA CUNHA CAVALCANTE RIBEIRO,francisco.ribeiro@exemplo.com,4340465169,enrolled
FRANCISCO DE MELLO DUARTE BARBOSA,francisco.barbosa@exemplo.com,8072533231,pending
FRANCISCO HENRIQUE PAZ FREITAS,francisco.freitas@exemplo.com,48928822,enrolled
FRANCISCO PIMENTA CAVALCANTE,francisco.cavalcante@exemplo.com,6483522430,enrolled
FRANCISCO RIBEIRO ALEXANDRE,francisco.alexandre@exemplo.com,4878041198,cancelled
FRANCISCO SOUZA,francisco.souza@exemplo.com,5674726393,enrolled
GABRIELA ALBUQUERQUE CAVALCANTE,gabriela.cavalcante@exemplo.com,8036082392,enrolled
GABRIELA ARAUJO ALEXANDRE,gabriela.alexandre@exemplo.com,3913417773,enrolled
GABRIELA DE SÁ MARTINS,gabriela.martins@exemplo.com,1760744535,pending
GABRIELA ROSENDO CARVALHO BRITO,gabriela.brito@exemplo.com,7910323803,pending
ISABELA COUTINHO LIMA BRITO,isabela.brito@exemplo.com,5981880923,enrolled
ISABELA FELIPE CRUZ MARTINS,isabela.martins@exemplo.com,739081839,enrolled
ISABELA LIMA BRAGA LOPES,isabela.lopes@exemplo.com,9877153308,enrolled
JOAO DE ALMEIDA SOUZA,joao.souza@exemplo.com,4205593154,enrolled
JOAO SOUZA,joao.souza@exemplo.com,3747649788,pending
JOSE BANDEIRA DELMIRO SOARES,jose.soares@exemplo.com,6613380175,enrolled
JOSE BORGES VIANA SOARES,jose.soares@exemplo.com,6252284337,pending
JOSE BRITO DE ARAUJOPINTO,jose.pinto@exemplo.com,7119906321,enrolled
JOSE CABRAL NOGUEIRA MARTINS,jose.martins@exemplo.com,7654439825,enrolled
JOSE DA ROCHA SILVA,jose.silva@exemplo.com,3575034879,cancelled
JOSE DE LACERDA RODRIGUES,jose.rodrigues@exemplo.com,5167151925,enrolled
JOSE GUSMÃO ALMEIDA,jose.almeida@exemplo.com,9364909962,enrolled
JOSE LIMA CAVALCANTE,jose.lima@exemplo.com,8901445555,enrolled
JOSE LUÍS DE SIQUEIRA LIMA,jose.lima@exemplo.com,1580371157,enrolled
JULIANA RISSATO VELOSO FREITAS,juliana.freitas@exemplo.com,1413373229,enrolled
JULIANA SOARES DO NASCIMENTO PINTO,juliana.pinto@exemplo.com,7296792244,enrolled
LEONARDO DE MELO SILVA,leonardo.silva@exemplo.com,4239541239,enrolled
LEONARDO DOS SANTOS DE OLIVEIRA CAVALCANTE,leonardo.cavalcante@exemplo.com,7144974142,pending
LEONARDO MACHADO SANTIAGO SANTOS,leonardo.santos@exemplo.com,8262714687,pending
LEONARDO MARTINS,leonardo.martins@exemplo.com,3331764540,enrolled
LEONARDO RODRIGUES,leonardo.rodrigues@exemplo.com,7733775350,enrolled
LEONARDO SILVA,leonardo.silva@exemplo.com,735057451,pending
LETICIA AMORIM ALEXANDRE,leticia.alexandre@exemplo.com,6501749292,enrolled
LETICIA COSTA,leticia.costa@exemplo.com,4094937206,enrolled
LETICIA DA ROCHA MARQUES CARVALHO,leticia.carvalho@exemplo.com,818261343,enrolled
LETICIA DE MEDEIROS BRITO,leticia.brito@exemplo.com,9290979078,enrolled
LUCIANA DE SOUZA CAVALCANTI,luciana.souza@exemplo.com,9581666792,enrolled
LUCIANA LUÍS DE SOUZA MORAES,luciana.moraes@exemplo.com,9161522297,cancelled
LUCIANA REIS GOMES DE SOARES,luciana.soares@exemplo.com,8948835822,pending
LUIS CARLOS VASCONCELOS DE GONCALVES,luis.goncalves@exemplo.com,6679655536,pending
LUIS CARVALHO,luis.carvalho@exemplo.com,4544523461,enrolled
LUIS DE FREITAS PEREIRA,luis.pereira@exemplo.com,5741359259,pending
LUIS DE MELO MORAES,luis.moraes@exemplo.com,9651031949,enrolled
LUIS FERREIRA,luis.ferreira@exemplo.com,9790300193,enrolled
LUIS MARTINS,luis.martins@exemplo.com,3725212450,pending
LUIS PEDRO PATRIOTA DE PINTO,luis.pinto@exemplo.com,181238617,enrolled
LUIS ROCHA DA ROSA ALVES,luis.alves@exemplo.com,1663072891,enrolled
MARCOS DE GODOY SOUZA,marcos.souza@exemplo.com,2800569224,enrolled
MARCOS GOMES,marcos.gomes@exemplo.com,8161041117,enrolled
MARCOS LINS FARIAS MARTINS,marcos.martins@exemplo.com,4925341870,enrolled
MARCOS MELO FERREIRA,marcos.melo@exemplo.com,2459201534,enrolled
MARCOS SILVA COUTINHO,marcos.silva@exemplo.com,4045863003,enrolled
MARCOS SOUZA,marcos.souza@exemplo.com,4500922379,enrolled
MARIA BRITO NASCIMENTO,maria.brito@exemplo.com,5704950497,pending
MARIA DE BARROS GUIMARÃES BRITO,maria.brito@exemplo.com,8924097024,enrolled
MARIA DE LIMA MOREIRA GOMES,maria.gomes@exemplo.com,9423929492,enrolled
MARIA DE OLIVEIRA SILVA,maria.silva@exemplo.com,3561711499,enrolled
MARIA DE SIQUEIRA PINTO,maria.pinto@exemplo.com,2231670535,enrolled
MARIA FERNANDES DE LUCENA GOMES,maria.gomes@exemplo.com,7800072043,cancelled
MARIA SANTIAGO NETO SANTOS,maria.santos@exemplo.com,8049357428,enrolled
PATRICIA ALEXANDRE,patricia.alexandre@exemplo.com,8891898500,enrolled
PATRICIA BARBOSA ALMEIDA DE SOARES,patricia.soares@exemplo.com,5168319037,enrolled
PATRICIA PEREIRA DE OLIVEIRA PEREIRA,patricia.pereira@exemplo.com,4766736289,enrolled
PATRICIA SOARES,patricia.soares@exemplo.com,8591086103,enrolled
PAULO DE LUCENA BRITO,paulo.brito@exemplo.com,929023862,pending
PEDRO CORREIA LIMA,pedro.lima@exemplo.com,1504899989,enrolled
PEDRO DA FONTE MARTINS,pedro.martins@exemplo.com,3842304270,cancelled
PEDRO DOS SANTOS SILVA SOARES,pedro.soares@exemplo.com,7636202656,enrolled
PEDRO MARCELO MAIKEL GONCALVES,pedro.goncalves@exemplo.com,2596917512,pending
PEDRO MARTINS,pedro.martins@exemplo.com,1899611723,enrolled
PEDRO MELO,pedro.melo@exemplo.com,4674288756,enrolled
RAFAEL EDUARDO BARBOSA MARTINS,rafael.martins@exemplo.com,8056233298,enrolled
RAFAEL PEDRO FERREIRA SOARES,rafael.soares@exemplo.com,1263809445,pending
RODRIGO DA ROCHA LEITE MARTINS,rodrigo.martins@exemplo.com,4441900791,enrolled
RODRIGO DE ARAÚJO NOGUEIRA PEREIRA,rodrigo.pereira@exemplo.com,8174502610,enrolled
RODRIGO DE LIMA SANTOS,rodrigo.lima@exemplo.com,3363290824,enrolled
RODRIGO GABRIEL DUTRA FREITAS,rodrigo.freitas@exemplo.com,6149098656,pending
RODRIGO MARQUES DE SOUZA,rodrigo.souza@exemplo.com,1419274687,enrolled
RODRIGO MELO CALDAS DE LIRA RODRIGUES,rodrigo.rodrigues@exemplo.com,1243903255,enrolled
RODRIGO PEREIRA SILVA DOS SANTOS,rodrigo.silva@exemplo.com,2681084390,enrolled
ROSA ALVES,rosa.alves@exemplo.com,6423112995,enrolled
ROSA DE AGUIAR MENDONÇA ALVES,rosa.alves@exemplo.com,7454830219,enrolled
ROSA GUILHERME SILVESTRE ALEXANDRE,rosa.alexandre@exemplo.com,3514232702,enrolled
ROSA MORAES,rosa.moraes@exemplo.com,594294554,enrolled
SARA BARBOZA SOUZA,sara.souza@exemplo.com,2279564741,enrolled
SARA DE BARROS CORREIA ALMEIDA,sara.almeida@exemplo.com,5406959499,enrolled
SARA GOMES DA SILVA XAVIER MARTINS,sara.martins@exemplo.com,8812784962,enrolled
SARA GOMES DUARTE ALVES,sara.alves@exemplo.com,9554944152,enrolled
SARA MELO FERREIRA LIMA,sara.lima@exemplo.com,2623883835,cancelled
SARA PESSOA ARAÚJO BRITO,sara.brito@exemplo.com,4674603138,enrolled
SILVANA EDUARDA SOUZA DE CAVALCANTE,silvana.cavalcante@exemplo.com,449372670,enrolled
SILVANA PEREIRA LIMA PINTO,silvana.pinto@exemplo.com,2564139120,enrolled
